,Star_name,Distance,Mass,Radius,Gravity
87,2MASSW J0045214+163445,57,4.3669537235999995e+28,115817394.942,217.14850276279157
88,WISEP J004701.06+680352.1 [fr],40,2.2784106383999997e+28,92939884.83000001,175.93553814787856
89,2MASS J00501994-3322402 [de],34,7.594702128e+28,67202685.954,1121.6653820352913
90,2MASS J00584253-0651239 [de],96,5.5061590427999995e+28,102233873.31300001,351.38640539176856
91,2MASSI J0103320+193536,70,9.873112766399999e+28,70062374.71800001,1341.560382170239
92,SDSSp J010752.33+004156.1 [de],51,9.873112766399999e+28,70062374.71800001,1341.560382170239
93,2MASSI J0117474-340325 [de],163,3.797351064e+28,115817394.942,188.82478501112314
94,2MASS J01415823-4633574 [de],130,3.797351064e+28,115102472.751,191.17771914015336
95,SDSS J015141.69+124429.6,70,8.9237750004e+28,69347452.527,1237.694387916357
96,SDSS J020742.48+000056.2 [de],111,8.9237750004e+28,69347452.527,1237.694387916357
97,2MASS J02103857-3015313,101,2.848013298e+28,109383095.22299999,158.7696289193873
98,2MASS J02340093-6442068,155,3.797351064e+28,115817394.942,188.82478501112314
99,2MASS J02411151-0326587 [de],152,5.1264239364e+28,100804028.93100001,336.4996146105873
100,2MASS J02431371−2453298,35,6.265629255599999e+28,70777296.90900001,834.2622319582347
101,LP 771-21,53,1.48096691496e+29,77211596.628,1656.937488472605
102,Teegarden's star,12.578,1.5189404256e+29,90795118.257,1228.9708370839892
103,2MASS J02535980+3206373,184,1.2341390958e+29,135835216.29,446.13386116215315
104,WISE J0254+0223,24,1.2341390958e+29,135835216.29,446.13386116215315
105,DEN 0255-4700,16.2,1.5189404256e+29,69347452.527,2106.7138517725225
106,2MASS J03185403-3421292 [de],45,9.3035101068e+28,69347452.527,1290.3622342106703
107,2MASS J03205965+1854233,47,1.67083446816e+29,82216051.965,1648.7166498646827
108,2MASS J03231002-4631237,192,4.3669537235999995e+28,118677083.70599999,206.80959887163243
109,SDSS J032553.17+042540.1,59,8.544039894e+28,67917608.145,1235.4476155259624
